Topography,Construction Type,Amount of Land (sqft),Land Price per sqft,Number of Floors,Architectural Style,Quality Level of Raw Materials,Furnished,Luxury Level,Building Area (sqft),Construction Cost per sqft,Raw Materials Cost per sqft,Flooring Cost per sqft,Ceiling Cost per sqft,Plumbing Cost per sqft,Wiring Cost per sqft,Price
rural,commercial,4257,809,9,traditional,high,Non-Furnished,luxury,4041,1541,1456,343,195,201,165,40324451
suburban,commercial,1934,3701,6,traditional,medium,Non-Furnished,standard,1836,1569,1273,522,156,206,177,21027162
suburban,residential,10803,4654,1,modern,medium,Non-Furnished,standard,10262,1526,1253,552,110,263,158,80918105
rural,residential,6361,814,5,traditional,high,Non-Furnished,standard,6040,1657,1032,541,66,300,200,40764490
suburban,commercial,8563,2258,7,traditional,low,Furnished,standard,8134,1556,1054,547,61,169,147,74323372
suburban,commercial,10143,1345,10,traditional,high,Non-Furnished,luxury,9630,1670,1099,410,151,191,190,113020486
metropolitan,commercial,2750,38733,22,contemporary,low,Furnished,standard,2596,1656,1434,338,101,200,127,133843846
urban,residential,6343,6839,4,modern,low,Non-Furnished,luxury,6024,1592,1267,571,119,257,170,69186427
rural,commercial,6064,985,7,contemporary,low,Non-Furnished,luxury,5754,1534,1420,372,70,216,174,44214065
metropolitan,residential,1266,29197,4,modern,low,Non-Furnished,basic,1200,1624,1129,379,103,252,125,31100743
metropolitan,residential,10146,32365,3,modern,low,Furnished,luxury,9636,1685,1262,359,84,237,112,331452963
suburban,residential,3224,3018,1,contemporary,low,Non-Furnished,standard,3062,1503,1179,590,139,202,162,17244155
metropolitan,residential,2794,32176,5,modern,medium,Non-Furnished,standard,2650,1609,1329,551,181,283,135,95916189
rural,residential,2109,719,1,modern,low,Furnished,basic,2003,1575,1160,385,121,206,139,6436269
rural,residential,2929,415,3,traditional,medium,Furnished,standard,2781,1673,1028,371,64,247,134,11969546
suburban,commercial,7125,4135,12,traditional,medium,Non-Furnished,basic,6768,1736,1010,489,70,300,107,90079865
suburban,residential,8755,2603,2,modern,high,Non-Furnished,luxury,8316,1703,1175,434,51,261,157,62989071
metropolitan,residential,1893,46419,4,traditional,low,Furnished,standard,1796,1623,1483,322,109,257,156,78463353
rural,commercial,3883,984,10,contemporary,medium,Non-Furnished,standard,3680,1635,1065,436,53,185,184,34490095
urban,commercial,9832,11196,29,modern,low,Non-Furnished,basic,9338,1566,1460,467,98,182,180,239764422
suburban,commercial,10093,1680,19,traditional,low,Non-Furnished,standard,9576,1510,1065,381,161,259,127,115011443
rural,residential,6800,769,1,traditional,low,Non-Furnished,luxury,6460,1768,1371,368,135,210,113,27481202
metropolitan,residential,10111,49838,3,contemporary,medium,Non-Furnished,basic,9603,1687,1012,343,67,199,175,440597008
metropolitan,commercial,4396,47499,11,contemporary,high,Non-Furnished,standard,4169,1733,1344,551,145,251,188,301697312
metropolitan,commercial,7516,30592,1,modern,low,Furnished,luxury,7140,1795,1071,541,197,277,181,282386993
metropolitan,commercial,5985,21372,17,traditional,low,Non-Furnished,standard,5678,1791,1141,348,116,226,128,179010833
suburban,commercial,2594,3528,14,contemporary,high,Non-Furnished,luxury,2464,1699,1014,557,148,151,144,48105383
rural,residential,3742,739,4,traditional,low,Non-Furnished,luxury,3552,1582,1490,378,74,152,146,18148823
rural,commercial,2107,921,12,modern,low,Non-Furnished,luxury,1992,1758,1041,381,145,272,141,19313539
suburban,residential,4800,1935,3,traditional,medium,Furnished,standard,4560,1649,1408,496,155,258,182,29800408
rural,residential,7813,815,3,contemporary,high,Furnished,standard,7422,1512,1457,448,185,239,171,42772781
rural,residential,8136,348,5,contemporary,medium,Non-Furnished,standard,7725,1575,1016,391,187,278,151,38437000
rural,commercial,9157,613,7,modern,high,Furnished,luxury,8694,1541,1055,422,73,254,106,77751498
metropolitan,commercial,11650,44984,14,modern,high,Non-Furnished,basic,11060,1582,1449,495,98,193,154,696038661
metropolitan,residential,10707,22546,1,traditional,low,Furnished,standard,10171,1653,1143,316,135,151,171,225364405
urban,commercial,4858,7253,24,modern,high,Furnished,standard,4608,1730,1038,320,65,207,199,103809851
rural,residential,10552,802,4,contemporary,high,Furnished,luxury,10024,1713,1021,383,115,292,106,62264323
metropolitan,commercial,5491,33642,18,modern,high,Furnished,standard,5202,1691,1260,547,76,261,163,307410266
rural,residential,5467,824,1,traditional,low,Furnished,luxury,5193,1773,1147,346,160,240,163,21976950
metropolitan,residential,7776,38232,1,modern,high,Furnished,standard,7387,1659,1401,570,175,159,191,325148852
urban,commercial,6400,17674,14,contemporary,low,Furnished,luxury,6076,1538,1394,547,50,286,160,196846027
rural,commercial,5833,404,23,contemporary,medium,Furnished,basic,5520,1711,1119,545,160,241,170,89943739
suburban,residential,7502,3856,4,modern,high,Non-Furnished,standard,7124,1573,1000,305,57,290,156,58937091
rural,residential,4202,205,4,traditional,low,Furnished,standard,3988,1560,1210,439,177,295,152,17617286
suburban,commercial,6792,1425,4,modern,medium,Non-Furnished,standard,6452,1592,1074,346,90,270,111,42732901
suburban,residential,8965,3660,4,contemporary,medium,Non-Furnished,standard,8516,1757,1423,332,153,280,176,68749444
rural,residential,4117,886,5,traditional,high,Furnished,standard,3910,1529,1115,495,100,183,120,25183076
urban,commercial,4401,14779,19,modern,medium,Non-Furnished,luxury,4180,1555,1282,512,160,290,148,145277099
rural,commercial,8437,580,28,contemporary,low,Furnished,basic,8008,1607,1212,340,150,293,189,97103074
urban,commercial,11742,10542,23,contemporary,high,Furnished,luxury,11132,1556,1252,349,155,239,119,334306795
urban,residential,8497,11565,3,modern,high,Non-Furnished,basic,8070,1501,1249,314,111,265,135,117777738
urban,commercial,5338,9319,18,modern,low,Non-Furnished,basic,5058,1728,1024,367,119,250,189,89010855
rural,commercial,3726,312,11,contemporary,medium,Non-Furnished,luxury,3531,1688,1234,336,157,167,198,31912360
suburban,commercial,7989,3876,23,traditional,medium,Furnished,basic,7567,1728,1193,478,200,242,127,139890762
metropolitan,residential,8563,43466,5,traditional,high,Non-Furnished,standard,8130,1506,1235,351,137,219,123,408519646
rural,commercial,8196,333,24,contemporary,low,Non-Furnished,standard,7776,1792,1481,569,88,229,121,136397309
suburban,commercial,11592,4152,23,contemporary,high,Non-Furnished,luxury,10994,1563,1026,428,185,294,133,254948675
suburban,residential,9906,3578,1,traditional,high,Furnished,basic,9410,1587,1415,345,88,179,153,63430930
rural,residential,4290,216,2,modern,medium,Non-Furnished,luxury,4074,1576,1271,492,66,213,125,17998229
suburban,residential,7093,2296,1,contemporary,medium,Furnished,basic,6738,1769,1154,332,67,264,181,34201431
rural,commercial,4042,933,8,contemporary,low,Non-Furnished,basic,3832,1712,1200,498,106,292,128,28701150
metropolitan,commercial,3708,46962,11,contemporary,high,Non-Furnished,standard,3520,1688,1142,388,179,188,193,243320419
metropolitan,residential,1818,42008,4,traditional,low,Non-Furnished,basic,1724,1780,1172,577,88,278,153,62937150
rural,commercial,2289,802,23,modern,medium,Furnished,luxury,2162,1670,1012,505,127,164,200,40993267
metropolitan,residential,8926,42589,4,traditional,medium,Furnished,standard,8476,1693,1439,310,95,264,138,379568627
urban,commercial,7699,14881,29,modern,high,Non-Furnished,basic,7308,1676,1058,324,128,157,196,225128976
metropolitan,commercial,9140,24953,27,contemporary,low,Non-Furnished,standard,8667,1624,1303,436,128,153,147,355584366
suburban,commercial,9252,1701,21,modern,medium,Furnished,basic,8778,1541,1183,518,163,203,121,138587444
rural,commercial,10866,686,4,traditional,low,Non-Furnished,standard,10320,1684,1333,530,169,179,164,65094237
suburban,commercial,1672,1878,22,traditional,high,Furnished,standard,1584,1751,1213,363,125,212,158,25788205
suburban,commercial,8034,2216,10,traditional,medium,Furnished,luxury,7630,1632,1233,432,80,283,142,93191238
urban,commercial,9698,11728,18,traditional,low,Non-Furnished,basic,9198,1765,1033,455,134,157,174,195202807
rural,commercial,2802,852,10,contemporary,low,Furnished,luxury,2660,1753,1065,317,118,163,173,21343291
rural,residential,5947,657,4,modern,medium,Non-Furnished,basic,5648,1719,1411,551,190,182,122,29827215
metropolitan,residential,4977,24867,1,contemporary,medium,Non-Furnished,luxury,4728,1729,1295,371,89,238,188,140827043
urban,commercial,2258,15056,22,modern,high,Furnished,luxury,2134,1518,1133,497,163,174,170,85522642
suburban,commercial,9824,4825,5,traditional,medium,Non-Furnished,basic,9330,1580,1367,585,166,277,172,106845264
urban,commercial,1995,8396,26,modern,high,Furnished,standard,1872,1550,1105,351,78,268,121,48147706
rural,residential,7780,408,5,modern,high,Furnished,basic,7390,1523,1433,454,65,258,184,40786738
urban,commercial,3331,8073,23,traditional,low,Non-Furnished,luxury,3151,1644,1461,564,65,199,135,85820863
rural,commercial,7958,209,8,traditional,low,Furnished,standard,7560,1722,1386,464,112,267,127,57026270
suburban,residential,7317,3671,1,modern,low,Furnished,luxury,6951,1525,1257,543,174,192,176,48271863
suburban,commercial,8222,2253,6,modern,medium,Furnished,luxury,7806,1544,1323,405,145,227,171,78392200
rural,residential,9385,321,4,traditional,high,Non-Furnished,basic,8912,1650,1189,303,117,202,124,38369232
rural,commercial,3459,968,17,contemporary,low,Furnished,standard,3281,1549,1289,559,125,213,199,45398871
suburban,residential,11233,2698,3,traditional,low,Furnished,basic,10671,1770,1477,501,165,240,111,63468951
urban,commercial,3235,13034,17,contemporary,medium,Non-Furnished,standard,3060,1538,1288,570,187,258,118,90405403
metropolitan,commercial,10974,38767,12,modern,medium,Non-Furnished,standard,10416,1536,1372,383,126,216,122,559266120
suburban,commercial,5742,1906,14,traditional,medium,Furnished,luxury,5446,1650,1299,418,167,254,185,75696275
suburban,commercial,4666,2213,5,traditional,medium,Non-Furnished,basic,4430,1695,1054,455,122,211,106,34181677
urban,residential,6213,11612,1,contemporary,high,Furnished,basic,5902,1690,1024,406,84,231,137,83298342
suburban,residential,6561,4907,2,traditional,low,Non-Furnished,basic,6232,1779,1458,435,99,246,147,44363873
urban,commercial,8566,17162,24,contemporary,medium,Furnished,standard,8136,1589,1292,592,96,157,138,318676782
rural,residential,4777,651,3,traditional,high,Non-Furnished,standard,4536,1695,1117,591,55,174,155,25392717
urban,residential,7515,5768,2,contemporary,low,Furnished,basic,7138,1608,1120,430,149,172,165,53190916
rural,residential,6412,633,2,traditional,low,Non-Furnished,standard,6090,1711,1062,443,86,268,168,23912079
rural,commercial,4844,391,1,traditional,medium,Non-Furnished,luxury,4601,1639,1200,568,122,158,188,23864682
metropolitan,commercial,1843,49689,5,traditional,low,Furnished,standard,1750,1621,1486,505,62,281,192,101408105
metropolitan,residential,4056,49201,3,modern,medium,Non-Furnished,luxury,3852,1514,1165,475,52,210,133,214720509
metropolitan,commercial,3130,25975,18,modern,medium,Furnished,standard,2970,1714,1268,509,131,252,111,130946832
rural,residential,2161,661,4,traditional,low,Non-Furnished,standard,2052,1716,1016,482,182,229,132,9805031
rural,residential,8191,260,1,traditional,low,Furnished,standard,7781,1562,1069,397,143,277,102,24454679
suburban,residential,5460,1234,5,traditional,high,Furnished,basic,5185,1748,1250,408,165,166,167,31877521
metropolitan,commercial,9183,29470,2,contemporary,high,Non-Furnished,luxury,8722,1544,1349,546,165,281,114,412962049
suburban,commercial,11918,4935,4,modern,low,Non-Furnished,luxury,11320,1542,1325,311,54,254,172,120645354
metropolitan,commercial,4158,20024,29,traditional,medium,Furnished,basic,3944,1669,1256,599,77,269,125,163702674
rural,residential,11274,358,5,modern,medium,Furnished,basic,10710,1561,1333,352,166,270,189,49891261
urban,residential,8044,12917,3,modern,medium,Non-Furnished,basic,7641,1790,1263,493,136,239,111,115219977
metropolitan,residential,9162,20763,2,modern,medium,Furnished,basic,8702,1635,1374,305,91,218,190,183746630
rural,commercial,5548,249,29,contemporary,high,Non-Furnished,luxury,5249,1680,1122,444,114,156,148,114292112
metropolitan,commercial,9054,38162,27,traditional,high,Furnished,luxury,8586,1625,1467,503,79,220,188,656392664
urban,residential,3148,18236,3,traditional,low,Non-Furnished,luxury,2988,1617,1125,336,109,254,185,62592171
urban,commercial,3279,6933,16,traditional,high,Furnished,basic,3104,1693,1482,407,110,175,120,58993740
rural,commercial,9100,672,24,contemporary,low,Furnished,basic,8640,1597,1406,593,137,203,144,142259084
metropolitan,commercial,7980,37748,7,traditional,medium,Furnished,standard,7581,1666,1446,450,107,300,120,388790683
metropolitan,commercial,8944,48309,2,contemporary,medium,Furnished,luxury,8496,1638,1240,506,60,253,144,567963562
suburban,commercial,7891,4833,19,traditional,medium,Furnished,basic,7486,1708,1217,575,131,164,101,143902058
urban,commercial,4634,7991,10,traditional,medium,Furnished,luxury,4400,1702,1454,566,171,291,133,95048114
rural,commercial,8496,403,17,traditional,medium,Furnished,basic,8058,1539,1288,340,140,187,127,75874538
suburban,commercial,2647,1760,24,modern,high,Non-Furnished,luxury,2496,1773,1481,500,172,287,144,58880500
urban,commercial,3744,9263,3,contemporary,medium,Furnished,standard,3555,1605,1211,513,54,188,192,57197330
rural,commercial,4368,549,14,traditional,medium,Furnished,basic,4144,1544,1171,537,134,242,196,46854428
suburban,commercial,8197,1515,2,modern,low,Non-Furnished,standard,7786,1709,1440,412,50,182,172,46032798
urban,residential,1743,14385,4,traditional,low,Non-Furnished,basic,1652,1579,1149,324,114,249,117,23702459
urban,residential,6499,17305,3,modern,low,Furnished,standard,6174,1628,1011,558,180,235,163,115767735
urban,residential,4594,6184,3,modern,medium,Furnished,standard,4362,1670,1021,594,139,159,119,45057230
urban,commercial,11734,16910,29,traditional,low,Furnished,basic,11136,1783,1130,513,140,190,164,358520337
metropolitan,residential,2444,40857,2,contemporary,medium,Non-Furnished,luxury,2320,1643,1460,313,58,286,101,108442805
urban,residential,3555,9134,4,contemporary,medium,Furnished,basic,3376,1564,1402,415,107,288,193,40794891
suburban,residential,7767,1083,1,contemporary,medium,Furnished,luxury,7378,1795,1179,525,127,223,159,38220185
rural,residential,2592,574,3,contemporary,medium,Non-Furnished,luxury,2460,1707,1494,341,110,287,117,13011854
rural,commercial,9789,598,12,modern,low,Non-Furnished,standard,9288,1748,1369,445,132,209,102,87631851
rural,commercial,1286,972,20,modern,medium,Furnished,basic,1220,1780,1244,421,139,191,199,15753685
urban,residential,8797,14359,5,modern,low,Furnished,standard,8355,1643,1498,309,153,281,103,137890458
rural,residential,6192,253,3,contemporary,high,Furnished,standard,5880,1704,1252,430,60,216,176,29190384
metropolitan,residential,11064,21686,3,contemporary,high,Furnished,basic,10509,1586,1336,392,199,163,148,257391108
suburban,commercial,5124,1342,25,modern,medium,Furnished,basic,4850,1573,1162,515,198,188,167,84804937
metropolitan,commercial,3800,28815,26,traditional,medium,Non-Furnished,basic,3588,1629,1054,420,120,253,135,158525994
suburban,commercial,7920,3043,3,traditional,medium,Furnished,basic,7524,1619,1404,357,104,187,162,57945071
urban,residential,11229,13781,5,contemporary,high,Non-Furnished,basic,10665,1567,1286,373,68,291,162,187663117
metropolitan,residential,11217,32251,3,contemporary,medium,Furnished,standard,10656,1787,1197,529,119,256,128,374610383
urban,commercial,11014,10812,4,modern,high,Furnished,standard,10460,1780,1134,588,182,233,173,219323842
urban,commercial,2126,11049,21,contemporary,low,Furnished,basic,2016,1591,1281,492,144,251,151,45714051
urban,commercial,2863,19186,20,contemporary,high,Furnished,luxury,2700,1537,1291,321,153,238,127,108352557
rural,residential,11223,341,4,modern,high,Non-Furnished,basic,10660,1523,1129,315,193,264,170,46521588
urban,commercial,2438,16178,18,modern,high,Non-Furnished,basic,2304,1518,1185,384,76,236,158,68256127
urban,residential,10755,15549,5,traditional,low,Furnished,luxury,10215,1535,1078,476,85,172,185,198981612
suburban,commercial,11302,2127,19,modern,medium,Furnished,luxury,10735,1605,1040,539,101,205,184,203675734
metropolitan,residential,10975,43284,4,traditional,low,Furnished,basic,10424,1562,1370,507,186,197,119,388084032
suburban,commercial,9010,2436,26,modern,medium,Non-Furnished,basic,8554,1636,1319,339,137,274,119,125882465
metropolitan,commercial,5516,42240,30,contemporary,high,Non-Furnished,luxury,5220,1526,1031,596,60,150,136,454514006
suburban,residential,7539,3341,5,modern,medium,Furnished,standard,7160,1594,1304,359,78,260,161,56611523
metropolitan,commercial,2560,26339,20,traditional,high,Non-Furnished,luxury,2420,1735,1135,412,197,230,166,127442052
rural,commercial,7414,359,27,traditional,low,Non-Furnished,basic,7020,1595,1321,395,187,159,104,90132887
urban,commercial,2173,15933,10,contemporary,medium,Non-Furnished,luxury,2060,1659,1035,487,179,166,170,62030829
suburban,commercial,4405,4353,11,traditional,low,Non-Furnished,basic,4180,1786,1461,548,160,198,109,53367803
suburban,commercial,7533,4079,17,modern,low,Non-Furnished,standard,7140,1739,1179,412,80,257,137,103905000
metropolitan,residential,7858,48927,3,modern,low,Non-Furnished,luxury,7464,1735,1084,359,154,254,192,372461620
metropolitan,commercial,4312,46344,21,contemporary,low,Furnished,standard,4095,1695,1463,530,146,218,134,258158341
urban,residential,3954,8480,2,contemporary,low,Furnished,standard,3756,1707,1279,532,92,170,197,41046976
metropolitan,commercial,2996,29800,16,traditional,medium,Furnished,standard,2832,1573,1256,395,176,264,151,128840897
urban,residential,9565,14756,5,modern,low,Non-Furnished,basic,9085,1781,1434,595,161,222,131,147292247
urban,commercial,1765,14331,22,contemporary,low,Non-Furnished,standard,1672,1586,1118,552,187,284,152,50650109
urban,commercial,4353,15712,8,contemporary,medium,Non-Furnished,basic,4128,1500,1481,458,188,208,101,96897746
metropolitan,commercial,8949,34428,9,traditional,medium,Furnished,standard,8496,1591,1239,363,80,226,197,401069178
rural,residential,11923,763,5,traditional,medium,Non-Furnished,luxury,11325,1639,1055,555,99,201,142,75278930
urban,residential,6424,7448,1,modern,high,Non-Furnished,basic,6102,1662,1428,405,76,178,177,63975941
metropolitan,commercial,9703,37747,13,traditional,medium,Non-Furnished,luxury,9217,1535,1345,462,173,276,110,548509583
suburban,commercial,6208,4511,11,modern,high,Furnished,luxury,5896,1762,1404,460,144,265,171,106781185
metropolitan,commercial,11378,49751,9,traditional,low,Non-Furnished,luxury,10809,1592,1098,568,77,197,145,713216227
metropolitan,commercial,11372,23175,20,contemporary,high,Furnished,standard,10800,1799,1286,478,90,275,162,491502469
suburban,residential,9357,1580,1,contemporary,medium,Non-Furnished,basic,8889,1750,1178,523,81,191,131,39724235
rural,commercial,11154,448,4,contemporary,high,Furnished,standard,10596,1596,1474,493,90,281,148,78356989
suburban,commercial,10767,3451,2,contemporary,low,Furnished,standard,10228,1538,1256,470,120,235,148,80381245
suburban,residential,3453,3981,2,modern,medium,Furnished,standard,3280,1524,1457,543,168,247,170,26334734
